token	corpus size	all contexts size	frequency	co-frequency	specificity
признать	278991	19521	14	4	1.94
интуитивизма	278991	19521	14	4	1.94
, —	278991	19521	14	4	1.94
жизненных	278991	19521	14	4	1.94
очевидно	278991	19521	14	4	1.94
пред	278991	19521	14	4	1.94
простыми	278991	19521	14	4	1.94
происхождения	278991	19521	14	4	1.94
сердца	278991	19521	30	6	1.91
возникают	278991	19521	30	6	1.91
свойство	278991	19521	58	9	1.91
морали	278991	19521	39	7	1.91
чувствовать	278991	19521	22	5	1.89
заставляет	278991	19521	22	5	1.89
самостоятельно	278991	19521	22	5	1.89
слова	278991	19521	90	12	1.88
три	278991	19521	49	8	1.88
награждает	278991	19521	8	3	1.87
хотите	278991	19521	8	3	1.87
подсознательно	278991	19521	8	3	1.87
приятно	278991	19521	8	3	1.87
безнаказанно	278991	19521	8	3	1.87
чувствительности	278991	19521	8	3	1.87
Христова	278991	19521	8	3	1.87
следовать	278991	19521	8	3	1.87
различает	278991	19521	8	3	1.87
трёх	278991	19521	8	3	1.87
естественного	278991	19521	8	3	1.87
вывести	278991	19521	8	3	1.87
фактором	278991	19521	8	3	1.87
страсть	278991	19521	8	3	1.87
важный	278991	19521	8	3	1.87
обрести	278991	19521	8	3	1.87
Феномен	278991	19521	8	3	1.87
наличие	278991	19521	59	9	1.87
тонкое	278991	19521	3	2	1.86
грешников	278991	19521	3	2	1.86
собеседник	278991	19521	3	2	1.86
светская	278991	19521	3	2	1.86
свидетельстве	278991	19521	3	2	1.86
непоколебимую	278991	19521	3	2	1.86
обособленной	278991	19521	3	2	1.86
полному	278991	19521	3	2	1.86
источниках	278991	19521	3	2	1.86
производное	278991	19521	3	2	1.86
надобности	278991	19521	3	2	1.86
предписаний	278991	19521	3	2	1.86
«Угрызения	278991	19521	3	2	1.86
пропорциональны	278991	19521	3	2	1.86
добродетелям	278991	19521	3	2	1.86
менялось	278991	19521	3	2	1.86
греческой	278991	19521	3	2	1.86
демона	278991	19521	3	2	1.86
напоминают	278991	19521	3	2	1.86
апостола	278991	19521	3	2	1.86
заговорил	278991	19521	3	2	1.86
неоднократно	278991	19521	3	2	1.86
неподкупного	278991	19521	3	2	1.86
достаточный	278991	19521	3	2	1.86
вращается	278991	19521	3	2	1.86
рассматривающих	278991	19521	3	2	1.86
коллизии	278991	19521	3	2	1.86
отметили	278991	19521	3	2	1.86
правах	278991	19521	3	2	1.86
Шопенгауэр	278991	19521	3	2	1.86
вводит	278991	19521	3	2	1.86
Условно	278991	19521	3	2	1.86
у таких	278991	19521	3	2	1.86
рождают	278991	19521	3	2	1.86
пережив	278991	19521	3	2	1.86
личную	278991	19521	3	2	1.86
правоту	278991	19521	3	2	1.86
Немецкий	278991	19521	3	2	1.86
Мартин	278991	19521	3	2	1.86
основан	278991	19521	3	2	1.86
действовала	278991	19521	3	2	1.86
Святым	278991	19521	3	2	1.86
богословии	278991	19521	3	2	1.86
Учение	278991	19521	3	2	1.86
исцеляет	278991	19521	3	2	1.86
возвышается	278991	19521	3	2	1.86
индивидуальная	278991	19521	3	2	1.86
пройдут	278991	19521	3	2	1.86
Петра	278991	19521	3	2	1.86
идолов	278991	19521	3	2	1.86
правильными	278991	19521	3	2	1.86
:18)	278991	19521	3	2	1.86
причинять	278991	19521	3	2	1.86
Владимира	278991	19521	3	2	1.86
Даля	278991	19521	3	2	1.86
матрицы	278991	19521	3	2	1.86
святитель	278991	19521	3	2	1.86
страстям	278991	19521	3	2	1.86
искажений	278991	19521	3	2	1.86
терзаний	278991	19521	3	2	1.86
усыпления	278991	19521	3	2	1.86
Сочувствие	278991	19521	3	2	1.86
лукавой	278991	19521	3	2	1.86
мало-помалу	278991	19521	3	2	1.86
духам	278991	19521	3	2	1.86
обольстителям	278991	19521	3	2	1.86
внушениям	278991	19521	3	2	1.86
обличала	278991	19521	3	2	1.86
сформировала	278991	19521	3	2	1.86
усваивать	278991	19521	3	2	1.86
отвечающую	278991	19521	3	2	1.86
моральному	278991	19521	3	2	1.86
стимулами	278991	19521	3	2	1.86
расстройстве	278991	19521	3	2	1.86
добрая	278991	19521	3	2	1.86
испытал	278991	19521	3	2	1.86
Талмуде	278991	19521	3	2	1.86
«успокоить»	278991	19521	3	2	1.86
терпит	278991	19521	3	2	1.86
сделанное	278991	19521	3	2	1.86
подавляет	278991	19521	3	2	1.86
(1Кр	278991	19521	3	2	1.86
согрешает	278991	19521	3	2	1.86
определяли	278991	19521	3	2	1.86
Даль	278991	19521	3	2	1.86
грызет	278991	19521	3	2	1.86
разделяет	278991	19521	3	2	1.86
поощрения	278991	19521	3	2	1.86
глупость	278991	19521	3	2	1.86
мучила	278991	19521	3	2	1.86
едино	278991	19521	3	2	1.86
помогала	278991	19521	3	2	1.86
предкам	278991	19521	3	2	1.86
«Чем	278991	19521	3	2	1.86
живущего	278991	19521	3	2	1.86
подтверждает	278991	19521	3	2	1.86
Мыслители	278991	19521	3	2	1.86
правой	278991	19521	3	2	1.86
проступка	278991	19521	3	2	1.86
господином	278991	19521	3	2	1.86
трансцендентного	278991	19521	3	2	1.86
эры	278991	19521	3	2	1.86
«Для	278991	19521	3	2	1.86
остатки	278991	19521	3	2	1.86
гражданина	278991	19521	3	2	1.86
восстановлении	278991	19521	3	2	1.86
огнем	278991	19521	3	2	1.86
первоначальная	278991	19521	3	2	1.86
попрание	278991	19521	3	2	1.86
очерствевшей	278991	19521	3	2	1.86
покрывается	278991	19521	3	2	1.86
Никодим	278991	19521	3	2	1.86
испытании	278991	19521	3	2	1.86
вечером	278991	19521	3	2	1.86
настоящая	278991	19521	3	2	1.86
бывает	278991	19521	40	7	1.85
общество	278991	19521	31	6	1.85
нельзя	278991	19521	91	12	1.85
чувств	278991	19521	70	10	1.84
несколько	278991	19521	70	10	1.84
идти	278991	19521	15	4	1.83
Духа	278991	19521	15	4	1.83
внутренними	278991	19521	15	4	1.83
роль	278991	19521	92	12	1.82
сколько	278991	19521	23	5	1.82
Развитие	278991	19521	23	5	1.82
совести	278991	19521	1026	84	1.81
сразу	278991	19521	41	7	1.81
мнению	278991	19521	41	7	1.81
почему	278991	19521	93	12	1.79
собственной	278991	19521	32	6	1.79
настолько	278991	19521	24	5	1.75
свет	278991	19521	24	5	1.75
Но	278991	19521	263	26	1.74
принято	278991	19521	16	4	1.74
поступками	278991	19521	16	4	1.74
стала	278991	19521	16	4	1.74
свобода	278991	19521	16	4	1.74
действиям	278991	19521	16	4	1.74
обществом	278991	19521	16	4	1.74
человеческого	278991	19521	84	11	1.74
больше	278991	19521	118	14	1.73
плохим	278991	19521	9	3	1.73
спастись	278991	19521	9	3	1.73
Примеры	278991	19521	9	3	1.73
Психологическая	278991	19521	9	3	1.73
раскаяние	278991	19521	9	3	1.73
естественным	278991	19521	9	3	1.73
возникновение	278991	19521	9	3	1.73
